LNS14000000,1960,12,1,6.6
LNS14000000,1961,01,1,6.6
LNS14000000,1961,02,1,6.9
LNS14000000,1961,03,1,6.9
LNS14000000,1961,04,1,7.0
LNS14000000,1961,05,1,7.1
LNS14000000,1961,06,1,6.9
LNS14000000,1961,07,1,7.0
LNS14000000,1961,08,1,6.6
LNS14000000,1961,09,1,6.7
LNS14000000,1961,10,1,6.5
LNS14000000,1961,11,1,6.1
LNS14000000,1961,12,1,6.0
LNS14000000,1962,01,1,5.8
LNS14000000,1962,02,1,5.5
LNS14000000,1962,03,1,5.6
LNS14000000,1962,04,1,5.6
LNS14000000,1962,05,1,5.5
LNS14000000,1962,06,1,5.5
LNS14000000,1962,07,1,5.4
LNS14000000,1962,08,1,5.7
LNS14000000,1962,09,1,5.6
LNS14000000,1962,10,1,5.4
LNS14000000,1962,11,1,5.7
LNS14000000,1962,12,1,5.5
LNS14000000,1963,01,1,5.7
LNS14000000,1963,02,1,5.9
LNS14000000,1963,03,1,5.7
LNS14000000,1963,04,1,5.7
LNS14000000,1963,05,1,5.9
LNS14000000,1963,06,1,5.6
LNS14000000,1963,07,1,5.6
LNS14000000,1963,08,1,5.4
LNS14000000,1963,09,1,5.5
LNS14000000,1963,10,1,5.5
LNS14000000,1963,11,1,5.7
LNS14000000,1963,12,1,5.5
LNS14000000,1964,01,1,5.6
LNS14000000,1964,02,1,5.4
LNS14000000,1964,03,1,5.4
LNS14000000,1964,04,1,5.3
LNS14000000,1964,05,1,5.1
LNS14000000,1964,06,1,5.2
LNS14000000,1964,07,1,4.9
LNS14000000,1964,08,1,5.0
LNS14000000,1964,09,1,5.1
LNS14000000,1964,10,1,5.1
LNS14000000,1964,11,1,4.8
LNS14000000,1964,12,1,5.0
LNS14000000,1965,01,1,4.9
LNS14000000,1965,02,1,5.1
LNS14000000,1965,03,1,4.7
LNS14000000,1965,04,1,4.8
LNS14000000,1965,05,1,4.6
LNS14000000,1965,06,1,4.6
LNS14000000,1965,07,1,4.4
LNS14000000,1965,08,1,4.4
LNS14000000,1965,09,1,4.3
LNS14000000,1965,10,1,4.2
LNS14000000,1965,11,1,4.1
LNS14000000,1965,12,1,4.0
LNS14000000,1966,01,1,4.0
LNS14000000,1966,02,1,3.8
LNS14000000,1966,03,1,3.8
LNS14000000,1966,04,1,3.8
LNS14000000,1966,05,1,3.9
LNS14000000,1966,06,1,3.8
LNS14000000,1966,07,1,3.8
LNS14000000,1966,08,1,3.8
LNS14000000,1966,09,1,3.7
LNS14000000,1966,10,1,3.7
LNS14000000,1966,11,1,3.6
LNS14000000,1966,12,1,3.8
LNS14000000,1967,01,1,3.9
LNS14000000,1967,02,1,3.8
LNS14000000,1967,03,1,3.8
LNS14000000,1967,04,1,3.8
LNS14000000,1967,05,1,3.8
LNS14000000,1967,06,1,3.9
LNS14000000,1967,07,1,3.8
LNS14000000,1967,08,1,3.8
LNS14000000,1967,09,1,3.8
LNS14000000,1967,10,1,4.0
LNS14000000,1967,11,1,3.9
LNS14000000,1967,12,1,3.8
LNS14000000,1968,01,1,3.7
LNS14000000,1968,02,1,3.8
LNS14000000,1968,03,1,3.7
LNS14000000,1968,04,1,3.5
LNS14000000,1968,05,1,3.5
LNS14000000,1968,06,1,3.7
LNS14000000,1968,07,1,3.7
LNS14000000,1968,08,1,3.5
LNS14000000,1968,09,1,3.4
LNS14000000,1968,10,1,3.4
LNS14000000,1968,11,1,3.4
LNS14000000,1968,12,1,3.4
LNS14000000,1969,01,1,3.4
LNS14000000,1969,02,1,3.4
LNS14000000,1969,03,1,3.4
LNS14000000,1969,04,1,3.4
LNS14000000,1969,05,1,3.4
LNS14000000,1969,06,1,3.5
LNS14000000,1969,07,1,3.5
LNS14000000,1969,08,1,3.5
LNS14000000,1969,09,1,3.7
LNS14000000,1969,10,1,3.7
LNS14000000,1969,11,1,3.5
LNS14000000,1969,12,1,3.5
LNS14000000,1970,01,1,3.9
LNS14000000,1970,02,1,4.2
LNS14000000,1970,03,1,4.4
LNS14000000,1970,04,1,4.6
LNS14000000,1970,05,1,4.8
LNS14000000,1970,06,1,4.9
LNS14000000,1970,07,1,5.0
LNS14000000,1970,08,1,5.1
LNS14000000,1970,09,1,5.4
LNS14000000,1970,10,1,5.5
LNS14000000,1970,11,1,5.9
LNS14000000,1970,12,1,6.1
LNS14000000,1971,01,1,5.9
LNS14000000,1971,02,1,5.9
LNS14000000,1971,03,1,6.0
LNS14000000,1971,04,1,5.9
LNS14000000,1971,05,1,5.9
LNS14000000,1971,06,1,5.9
LNS14000000,1971,07,1,6.0
LNS14000000,1971,08,1,6.1
LNS14000000,1971,09,1,6.0
LNS14000000,1971,10,1,5.8
LNS14000000,1971,11,1,6.0
LNS14000000,1971,12,1,6.0
LNS14000000,1972,01,1,5.8
LNS14000000,1972,02,1,5.7
LNS14000000,1972,03,1,5.8
LNS14000000,1972,04,1,5.7
LNS14000000,1972,05,1,5.7
LNS14000000,1972,06,1,5.7
LNS14000000,1972,07,1,5.6
LNS14000000,1972,08,1,5.6
LNS14000000,1972,09,1,5.5
LNS14000000,1972,10,1,5.6
LNS14000000,1972,11,1,5.3
LNS14000000,1972,12,1,5.2
LNS14000000,1973,01,1,4.9
LNS14000000,1973,02,1,5.0
LNS14000000,1973,03,1,4.9
LNS14000000,1973,04,1,5.0
LNS14000000,1973,05,1,4.9
LNS14000000,1973,06,1,4.9
LNS14000000,1973,07,1,4.8
LNS14000000,1973,08,1,4.8
LNS14000000,1973,09,1,4.8
LNS14000000,1973,10,1,4.6
LNS14000000,1973,11,1,4.8
LNS14000000,1973,12,1,4.9
LNS14000000,1974,01,1,5.1
LNS14000000,1974,02,1,5.2
